area,route,source_file,source_key,service_slug,field,item_index,hu,en,de,zh,status,notes,risk_level
ai_search_grounding,/llms-full.txt,public/llms-full.txt,line.1,,line,1,# Avenir Facility Management Kft. - AI-search reference,,,,do_not_translate,AI-search grounding file; keep proof-safe and canonical. Do not localize unless localized AI files are explicitly planned.,normal
ai_search_grounding,/llms-full.txt,public/llms-full.txt,line.101,,line,101,### Próbavásárlás és szolgáltatásaudit,,,,do_not_translate,AI-search grounding file; keep proof-safe and canonical. Do not localize unless localized AI files are explicitly planned.,normal
ai_search_grounding,/llms-full.txt,public/llms-full.txt,line.103,,line,103,URL: https://www.afm.hu/hu/szolgaltatasok/mystery-shopping-helyszini-audit,,,,do_not_translate,AI-search grounding file; keep proof-safe and canonical. Do not localize unless localized AI files are explicitly planned.,normal
ai_search_grounding,/llms-full.txt,public/llms-full.txt,line.105,,line,105,"Service-quality and customer-journey audit, including mystery shopping, brand",,,,do_not_translate,AI-search grounding file; keep proof-safe and canonical. Do not localize unless localized AI files are explicitly planned.,normal
ai_search_grounding,/llms-full.txt,public/llms-full.txt,line.106,,line,106,"audit, situation shopping, trial journey/service journey audit, and agreed",,,,do_not_translate,AI-search grounding file; keep proof-safe and canonical. Do not localize unless localized AI files are explicitly planned.,normal
ai_search_grounding,/llms-full.txt,public/llms-full.txt,line.107,,line,107,compliance-point measurement within a defined scope.,,,,do_not_translate,AI-search grounding file; keep proof-safe and canonical. Do not localize unless localized AI files are explicitly planned.,normal
ai_search_grounding,/llms-full.txt,public/llms-full.txt,line.109,,line,109,### Rendezvénybiztosítás,,,,do_not_translate,AI-search grounding file; keep proof-safe and canonical. Do not localize unless localized AI files are explicitly planned.,normal
ai_search_grounding,/llms-full.txt,public/llms-full.txt,line.11,,line,11,Avenir Facility Management Kft. is a Hungarian B2B security and facility,,,,do_not_translate,AI-search grounding file; keep proof-safe and canonical. Do not localize unless localized AI files are explicitly planned.,normal
ai_search_grounding,/llms-full.txt,public/llms-full.txt,line.111,,line,111,URL: https://www.afm.hu/hu/szolgaltatasok/rendezvenybiztositas,,,,do_not_translate,AI-search grounding file; keep proof-safe and canonical. Do not localize unless localized AI files are explicitly planned.,normal
ai_search_grounding,/llms-full.txt,public/llms-full.txt,line.113,,line,113,"Event security for time-bound, organizer-coordinated events, including entry",,,,do_not_translate,AI-search grounding file; keep proof-safe and canonical. Do not localize unless localized AI files are explicitly planned.,normal
