key,section,hu_text,de_text,de_status
biztonsagtechnika:seoTitleHu,meta.title,Biztonságtechnika vállalati helyszínekre | Avenir,Sicherheitstechnik für Unternehmensstandorte | Avenir,translated_draft
biztonsagtechnika:seoDescriptionHu,meta.description,"Kamerarendszer, beléptetés, behatolásjelzés és riasztási folyamatok élőerős őrzéssel és portaszolgálattal összehangolva.","Kamerasystem, Zutrittskontrolle, Einbruchmeldung und Alarmprozesse — abgestimmt mit Objektschutz und Pförtnerdienst.",translated_draft
biztonsagtechnika:nameHu,hero.h1,Biztonságtechnika,Sicherheitstechnik,translated_draft
biztonsagtechnika:valuePropositionHu,hero.subhead,"A biztonságtechnika a kamerarendszert, a beléptetést és a riasztási folyamatokat helyszínre szabott biztonsági rendszerré kapcsolja össze, dokumentált céllal, arányos lefedettséggel, eszkalációval és működési integrációval.","Die Sicherheitstechnik verbindet Kamerasystem, Zutrittskontrolle und Alarmprozesse zu einem standortgerechten Sicherheitssystem — mit dokumentiertem Zweck, verhältnismäßiger Abdeckung, Eskalation und betrieblicher Integration.",translated_draft
biztonsagtechnika:PILOT_HU.longDesc.body.0,body.1,"A biztonságtechnika célja, hogy a helyszíni vagyonvédelem ne csak emberi jelenlétre támaszkodjon, hanem jól kezelhető technikai támogatást is kapjon. Ide tartozhat a kamerarendszer, a beléptető rendszer, a behatolásjelzés, a riasztási folyamat, a jelzések továbbítása és az események dokumentálása.","Ziel der Sicherheitstechnik ist, dass sich die Sicherheit vor Ort nicht allein auf personelle Präsenz stützt, sondern auch gut handhabbare technische Unterstützung erhält. Dazu können das Kamerasystem, die Zutrittskontrollanlage, die Einbruchmeldung, der Alarmprozess, die Weiterleitung von Meldungen und die Dokumentation der Ereignisse gehören.",translated_draft
biztonsagtechnika:PILOT_HU.longDesc.body.1,body.2,"Avenir a biztonságtechnikai működést nem elszigetelt eszközbeszerzésként kezeli. A helyszíni felmérés alapján azt vizsgáljuk, hol vannak belépési pontok, gyenge ellenőrzési zónák, visszatérő események, kritikus területek és olyan folyamatok, ahol a technológia az őrzést, a portaszolgálatot vagy a távfelügyeletet támogatni tudja.","Avenir behandelt den sicherheitstechnischen Betrieb nicht als isolierte Gerätebeschaffung. Auf Grundlage der Begehung vor Ort prüfen wir, wo sich Zutrittspunkte, schwach kontrollierte Zonen, wiederkehrende Ereignisse, kritische Bereiche und Prozesse befinden, in denen die Technik den Objektschutz, den Pförtnerdienst oder die Fernüberwachung unterstützen kann.",translated_draft
biztonsagtechnika:PILOT_HU.longDesc.body.2,body.3,"Az Avenir a biztonságtechnikai felmérés és tervezés során az adatvédelmi szempontokat is beépíti: a dokumentált célt, az arányos látómezőt, a hozzáférési jogosultságokat, az érintetti tájékoztatást és a megőrzési logikát a helyszín működéséhez és az ügyfél adatvédelmi keretéhez igazítja. Ez támogatja az ügyfél adatvédelmi felülvizsgálatát; a jogalap és a végső adatvédelmi döntések az ügyfél és tanácsadói körében maradnak.","Avenir bezieht bei der sicherheitstechnischen Bestandsaufnahme und Planung auch die Datenschutzaspekte ein: Der dokumentierte Zweck, der verhältnismäßige Erfassungsbereich, die Zugriffsberechtigungen, die Information der Betroffenen und die Speicherlogik werden auf den Betrieb des Standorts und den Datenschutzrahmen des Kunden abgestimmt — im Einklang mit den Grundsätzen der DSGVO und dem in Ungarn anwendbaren Rechtsrahmen. Dies unterstützt die datenschutzrechtliche Prüfung des Kunden; die Rechtsgrundlage und die abschließenden Datenschutzentscheidungen verbleiben beim Kunden und seinen Beratern.",legal_review_required
biztonsagtechnika:PILOT_HU.longDesc.body.3,body.4,"A cél egy átlátható, karbantartható és napi működésben is használható biztonságtechnikai réteg: olyan megoldás, amely nem csak rögzít, hanem segíti az észlelést, az eszkalációt, a beléptetést, a riportálást és a döntéshozatalt.","Ziel ist eine transparente, wartbare und im Tagesbetrieb nutzbare sicherheitstechnische Ebene: eine Lösung, die nicht nur aufzeichnet, sondern Erkennung, Eskalation, Zutrittskontrolle, Berichtswesen und Entscheidungsfindung unterstützt.",translated_draft
biztonsagtechnika:hu.serviceDetail.useCasesEyebrow,useCases.eyebrow,KINEK AJÁNLJUK,EMPFOHLEN FÜR,translated_draft
biztonsagtechnika:hu.serviceDetail.useCasesTitle,useCases.title,Kinek jó,Für wen geeignet,translated_draft
